Bureau Number	Employer Name	Street Address	City	State	Zip Code	Insurer Name	LookupStatus
42	BAXTER AUTO PARTS, INC	9440 NORTH WHITAKER ROAD	PORTLAND	OR	97217	Employers Preferred Insurance Company	Found
270	MOORE TWINING ASSOCIATES, INC.	2527 FRESNO STREET	FRESNO	CA	937211804	American Zurich Insurance Company	Found
637	MORRIS SHAND						Not Found
723	COTATI FOOD SERVICE (A CORP)	441 HOUSER ST	COTATI	CA	949313034	Markel Insurance Company	Found
723	DBA COTATI FOOD SERVICE	441 HOUSER ST	COTATI	CA	949313034	Markel Insurance Company	Found
1407	AV BATTERY M						Not Found
2718	DAVIDSON AND LICHT JEWELRY CO.	1205 BROADWAY PLZ	WALNUT CREEK	CA	945965112	Markel Insurance Company	Found
2997	SHOPPER'S CO						Not Found
3210	HIGHLANDS WATER COMPANY	14580 LAKESHORE DR	CLEAR LAKE	CA	95422	State Compensation Insurance Fund	Found
3210	HIGHLANDS WATER COMPANY	14475 LAKESHORE DR	CLEARLAKE	CA	954228119	State Compensation Insurance Fund	Found
3210	HIGHLANDS WATER COMPANY DBA	14580 LAKESHORE DR	CLEAR LAKE	CA	95422	State Compensation Insurance Fund	Found
3210	HIGHLANDS WATER COMPANY DBA	14475 LAKESHORE DR	CLEARLAKE	CA	954228119	State Compensation Insurance Fund	Found
3218	UNION HOTEL RESTAURANT (DBA)	280 MISSION BLVD	SANTA ROSA	CA	95409	ZNAT Insurance Company	Found
3218	UNION HOTEL, INC. (CORPORATION)	280 MISSION BLVD	SANTA ROSA	CA	95409	ZNAT Insurance Company	Found
3492	VINCENT ELECTRIC CO INC	8383 BALDWIN ST	OAKLAND	CA	94621	Insurance Company of the West	Found
3492	VINCENT ELECTRIC MOTOR CO (DBA)	8383 BALDWIN ST	OAKLAND	CA	94621	Insurance Company of the West	Found
3510	HERITAGE FOODS HOLDINGS, LLC	2475 COURAGE DR	FAIRFIELD	CA	94533	Great American Alliance Insurance Company	Found
4058	SOUTHWESTERN INDUSTRIES INC	2605 HOMESTEAD PL	RANCHO DOMINGUEZ	CA	902200000	Travelers Property Casualty Company of America	Found
4058	UT SOUTHWESTERN DVA HEALTHCARE, L.L.P.	125 E COMPTON BLVD	COMPTON	CA	90220	AIU Insurance Company	Found
4095	C. MONDAVI & FAMILY	2182 MAIN ST	SAINT HELENA	CA	945740000	Republic Indemnity Company of America	Found
4389	VISALIA COUNTRY CLUB (A CORP)	625 N RANCH ST	VISALIA	CA	93291	Employers Assurance Company	Found
5207	PACIFIC SCHOOL OF RELIGION	1798 SCENIC AVE	BERKELEY	CA	947090000	Travelers Property Casualty Company of America	Found
5215	523 SANTA BARBARA STREET PROPERTY, LLC	900 KNOLLWOOD DR	SANTA BARBARA	CA	931081433	New York Marine and General Insurance Company	Found
5215	CRDN OF VENTURA, SANTA BARBARA, AND SAN LUIS OBISPO COUNTIES (DBA)	1024 COAST VILLAGE RD.	SANTA BARBARA	CA	93108	Sequoia Insurance Company	Found
5215	DBA SANTA BARBARA REPRODUCTIVE CARE OPTION	1470 E VALLEY RD # 5128	SANTA BARBARA	CA	931081220	Markel Insurance Company	Found
5215	FOUR SEASONS SANTA BARBARA EMPLOYMENT INC.	1260 CHANNEL DRIVE	SANTA BARBARA	CA	93108	Zurich American Insurance Company	Found
5215	JEANNINE'S BAKING COMPANY OF SANTA BARBARA	1253 COAST VILLAGE ROAD	MONTECITO	CA	93108	ProCentury Insurance Company	Found
5215	JEANNINE'S BAKING COMPANY OF SANTA BARBARA (DBA)	1253 COAST VILLAGE ROAD	MONTECITO	CA	93108	ProCentury Insurance Company	Found
5215	LCF SANTA BARBARA MGMT LLC	1482 E VALLEY RD	MONTECITO	CA	931080000	Sunz Insurance Company	Found
5215	LCF SANTA BARBARA PROFESSIONAL SOCCER, LLC	915 PARK LN	MONTECITO	CA	931081421	Indemnity Insurance Company of North America	Found
5215	SAFETY TOWN OF SANTA BARBARA COUNTY, INC. (NONPROFIT)	385 SAN YSIDRO RD	SANTA BARBARA	CA	931082131	Markel Insurance Company	Found
5215	SANTA BARBARA BOOKKEEPING, INC.	168 CANON VIEW RD	SANTA BARBARA	CA	93108	Hartford Casualty Insurance Company	Found
5215	SANTA BARBARA CEMETERY ASSOCIATION	1 HOT SPRINGS RD	SANTA BARBARA	CA	93108	State Compensation Insurance Fund	Found
